,Team,Season,Goals For,Total Shots,Total PIM,Avg Age,Team +/-,Sum OPS,Sum DPS,Highest Scorer PTS,Highest G,Highest A,GP,Playoffs
164,PIT,2011,228,2582,1372,27.2,123,40.1,46.6,66,32,42,82,1
170,SJS,2011,243,2832,921,26.8,110,45.8,42.4,73,37,49,82,1
163,STL,2011,236,2475,1209,25.4,24,42.8,36.4,62,31,32,82,0
159,TBL,2011,241,2605,881,27.5,-66,44.8,34.4,99,45,68,82,1
151,TOR,2011,213,2360,967,25.3,-112,34.1,30.4,64,32,41,82,0
166,VAN,2011,258,2624,933,26.6,245,52.1,50.2,104,41,75,82,1
172,WPG,2011,218,2581,908,26.1,-179,36.2,24.8,59,29,41,82,0
171,WSH,2011,219,2566,906,27.2,118,35.8,47.199999999999996,85,32,53,82,1
204,ANA,2012,201,2291,962,27.1,-88,31.3,34.8,66,37,46,82,0
198,ARI,2012,210,2429,739,27.4,85,34.3,41.7,77,35,53,82,1
182,BOS,2012,260,2653,1093,27.5,286,56.5,43.5,67,29,42,82,1
192,BUF,2012,211,2397,886,25.9,-41,34.4,33.5,73,30,43,82,0
206,CAR,2012,212,2497,751,26.0,-143,35.9,30.1,70,24,46,82,0
185,CBJ,2012,198,2454,1021,26.0,-233,30.099999999999998,24.5,59,30,39,82,0
209,CGY,2012,199,2258,865,27.6,-125,30.4,35.5,67,32,38,82,0
205,CHI,2012,241,2583,828,26.5,84,47.6,32.9,77,33,48,82,1
208,COL,2012,199,2583,890,25.3,-79,30.2,38.0,55,22,37,82,0
184,DAL,2012,204,2315,1008,27.2,18,32.7,36.8,71,35,45,82,0
196,DET,2012,239,2638,675,28.5,212,46.9,44.8,69,29,48,82,1
186,EDM,2012,207,2186,922,26.2,-136,34.0,31.2,76,34,42,82,0
189,FLA,2012,197,2433,762,28.0,-107,28.6,35.2,61,27,49,82,1
199,LAK,2012,188,2509,917,26.6,26,25.9,52.0,76,25,51,82,1
187,MIN,2012,166,2174,978,26.0,-205,16.1,35.5,53,24,32,82,0
191,MTL,2012,207,2340,934,27.2,-81,33.7,36.4,65,35,44,82,0
180,NJD,2012,216,2253,924,28.1,-63,36.5,42.5,83,37,52,82,1
207,NSH,2012,232,2261,677,26.0,53,43.9,40.2,58,27,39,79,1
193,NYI,2012,196,2410,755,26.6,-285,28.4,27.2,81,36,50,82,0
188,NYR,2012,222,2338,1045,26.7,143,39.7,48.9,76,41,41,82,1
203,OTT,2012,243,2574,1121,25.9,79,49.3,31.0,84,35,59,82,1
200,PHI,2012,260,2641,1300,26.6,117,55.7,34.6,93,37,65,82,1
195,PIT,2012,273,2779,868,27.6,142,61.1,38.4,109,50,59,82,1
201,SJS,2012,219,2773,767,27.6,50,38.6,41.8,77,31,59,82,1
194,STL,2012,206,2512,1046,26.4,207,33.7,56.7,54,24,39,82,1
190,TBL,2012,232,2227,849,27.4,-148,43.800000000000004,19.4,97,60,49,82,0
181,TOR,2012,227,2322,808,25.7,-149,42.699999999999996,24.3,82,37,45,82,0
